doc_id,posting_entries_size,doc_size_bytes
902,5856,56305
903,2580,29681
904,956,18382
905,968,19195
906,808,14553
907,904,23612
908,604,10263
909,4336,65070
910,468,10596
911,652,12057
912,1512,24827
913,880,17800
914,1144,33862
915,716,12392
916,548,12792
917,1596,21790
918,840,14589
919,6868,99357
920,896,16837
921,556,12242
922,904,17801
923,896,18273
924,1068,18348
925,1176,33854
926,876,24888
927,1052,18431
928,3824,74844
929,888,17549
930,1096,21961
931,344,8925
932,1824,34217
933,652,14952
934,640,11718
935,428,9449
936,996,16124
937,732,13454
938,784,13372
939,868,23466
940,2488,32502
941,1416,23691
942,948,17248
943,3512,53739
944,1240,19169
945,1308,15282
946,1136,19064
947,576,14211
948,1792,43946
949,556,12283
950,1224,28083
951,1132,16127
952,384,9236
953,800,13562
954,1768,20480
955,1172,31516
956,816,20908
957,2148,18677
958,1780,37508
959,948,26427
960,652,16443
961,780,16315
962,2608,42368
963,572,10961
964,1824,44640
965,492,13946
966,392,11122
967,1384,13317
968,756,25045
969,3400,38453
970,520,12663
971,476,15768
972,1072,27042
973,1912,27082
974,500,11253
975,516,13183
976,716,19700
977,840,19340
978,2464,63760
979,2152,38010
980,5960,64906
981,656,13724
982,504,11911
983,504,13396
984,604,14400
985,796,12095
986,704,13591
987,872,14477
988,1084,28705
989,588,13204
990,2068,26126
991,1832,19752
992,536,13337
993,2436,29761
994,884,26349
995,1992,23961
996,2012,22308
997,1388,19251
998,848,14076
999,1756,19009
1000,8064,98860
1001,748,16825
1002,620,21980
1003,1208,26195
1004,944,21875
1005,1168,33374
1006,568,13399
1007,2072,44237
1008,992,15027
1009,836,20373
1010,684,14463
1011,884,16521
1012,680,13497
1013,1528,19679
1014,1932,42383
1015,532,13105
1016,832,21657
1017,524,16609
1018,1744,24976
1019,696,12715
1020,1248,17507
1021,1168,12353
1022,4008,55368
1023,356,9806
1024,620,12858
1025,476,10740
1026,792,15927
1027,740,10868
1028,752,12818
1029,1052,18522
1030,568,13281
1031,1944,20584
1032,536,13078
1033,1612,24989
1034,576,10235
1035,1068,14182
1036,552,13733
1037,412,11850
1038,2004,27658
1039,1752,21287
1040,684,18957
1041,464,10562
